sensor_index,name,latitude,longitude
85765,Steed Park powered by UTOPIA Fiber,41.118206,-112.042175
85837,Silverfork,40.631638,-111.60943
86147,West Valley City Public Works powered by UTOPIA Fiber,40.70862,-111.97746
86227,Kaysville6,41.014286,-111.93118
86975,Millcreek City,40.690933,-111.7936
87209,High Meadows,40.74558,-111.57225
89717,Our House,40.581345,-111.8477
90257,0,40.77607,-111.73412
90285,Rose Park-Rondongo-Outside,40.78727,-111.93189
91661,Outdoor Sensor,40.779472,-111.865944
91975,"Filmore Street, Sugarhouse",40.710438,-111.84749
94765,2482 S Promontory Dr,40.71714,-111.80631
97391,Clark Planetarium,40.7667,-111.90304
97631,2095 W. WX,40.874775,-111.935684
100865,EAST MILL CREEK,40.692505,-111.81041
104574,Popperton - Dry Creek,40.777283,-111.83989
105030,Terrace Hills. Drive,40.79087,-111.86294
106632,Glenmoor Country Estates,40.57614,-111.98359
108206,Stewart Center,41.09873,-111.98162
109530,Mohawk Outside,40.73202,-111.81282
109716,ShadyAir,40.507366,-111.85163
110302,Jeremy Ranch,40.76059,-111.59286
111526,Kaysville Cemetery,41.04566,-111.926216
112594,Casper,40.538254,-111.84823
112754,Home Outside,40.786934,-111.73896
112756,RRP Bluffdale,40.45035,-111.9342
112862,Maple Hills Drive,40.860847,-111.847466
112884,Yalecrest,40.744972,-111.848
114465,Willowcreek Park,40.598248,-111.83052
114467,Tanglewood,41.06316,-111.90332
114549,TT,40.849373,-111.879906
120419,Lehmbegovic,40.75687,-111.8557
120861,Glenmare,40.74004,-111.8453
122011,Field Rose,40.6398,-111.82251
122091,Wander Circle,40.665512,-111.81143
123555,Midvale Millenium Way  power by UTOPIA Fiber,40.61853,-111.9024
126559,Train Watch Park powered by UTOPIA Fiber,41.11814,-112.031425
126897,Gordon &amp; train tracks,41.074673,-111.99224
126905,Layton fire station power by UTOPIA FIBER,41.063282,-111.95846
126929,West Valley fire academy power by Utopia fiber,40.709427,-111.95981
129167,Silver Shadows 2,40.633476,-111.86767
129689,F and 8th Ave 2,40.77824,-111.87601
129727,Aguilar’s Outside,40.68852,-111.959755
131619,Oak Hollow 2,40.492416,-111.868256
131891,Parkview purple,40.682274,-111.78211
133674,South Salt Lake 3750S 710W powered by UTOPIA Fiber,40.689583,-111.911644
133678,Midvale Mid Valley Improvement power by UTOPIA Fiber,40.609406,-111.88701
133792,Murray City Cemetary power by UTOPIA Fiber,40.6538,-111.87271
134552,Rose Park-Christensen Acres,40.78668,-111.93288
136582,Canyon Rim,40.70788,-111.81718
139930,Cedar Hills House,40.424454,-111.75363
148315,Red Pine Lodge,40.678017,-111.57732
150790,Woodley Place,40.681103,-111.82541
151912,Later PA,40.55333,-111.81884
155177,4144 Megan Circle,40.681572,-111.86667
156037,Architectural Nexus,40.722088,-111.81881
156169,Sun Peak Neighborhood Middle,40.698006,-111.55521
156623,Shed,40.746777,-111.84749
160979,Trinity_2,40.672424,-111.80234
161605,North Cove -Out,40.796906,-111.88152
165997,Tranquil,40.733875,-111.84109
169779,3A,40.769947,-111.847015
169851,Twin Hollows,40.90276,-111.87242
169867,Woods Cross (East),40.8716,-111.9032
171527,Trinity_1,40.67244,-111.802414
174555,Wilmy,40.722404,-111.823616
180593,Old Magna,40.708187,-112.09878
181389,Pinecrest-6850',40.81673,-111.726974
189031,Taylorsville-Bennion,40.640045,-111.93181
189445,Midvale St.Theresa Catholic Church power by UTOPIA Fiber,40.6097,-111.90866
189459,Lewis Park - Powered by Utopia Fiber,40.86155,-111.87546
189655,Murray Cottonwood Presbyterian Church power by UTOPIA Fiber,40.6389,-111.8473
189657,"63 W 1350 N, Bountiful, UT",40.667492,-111.901566
189667,Murray Viewmont Elementary power by UTOPIA Fiber,40.647934,-111.91628
189671,Murray 1300E Jeanne ave. Power by UTOPIA Fiber,40.634926,-111.85503
189669,Midvale 974E North Union Ave. powered by UTOPIA Fiber,40.620743,-111.86325
189675,Mueller Park West - Powered by Utoipa Fiber,40.871704,-111.86291
189681,Murray Southwood Park powered by UTOPIA Fiber,40.639633,-111.86979
189687,Murray Horizon Elementary Powered by UTOPIA Fiber,40.65607,-111.91026
189691,1231 S 600 E,40.87651,-111.86706
189689,390N 1300E Bountiful powered by UTOPIA Fiber,40.89382,-111.853096
189694,Murray 4500 S Triton Blvd powered by UTOPIA,40.674118,-111.87898
189693,Creekside Park - Powered by Utopia,40.87983,-111.86952
189705,Murray Birkhill-Fireday powered by UTOPIA Fiber,40.678333,-111.89379
189709,2155 S 200 W Powered by Utopia,40.86728,-111.88558
189713,North Canyon Park - Powered by Utopia,40.845634,-111.8761
189717,Zesiger Park powered by UTOPIA Fiber,40.901,-111.87291
190415,Danish Road,40.59649,-111.80126
191895,Riverton-Harvest,40.522766,-111.93312
192375,Millcreek,40.69491,-111.85545
196107,The Preserve,41.03355,-111.97173
199645,Highland-Newcastle,40.590206,-111.83429
199845,Canyon Rim Academy,40.705555,-111.809586
200679,Glacier Park Ln,40.576122,-111.79993
202187,Cobble Canyon,40.588142,-111.804985
204315,Holliday Preschool,40.671486,-111.81682
204901,porch,40.682804,-111.79839
205861,2551,40.694977,-111.8186
206185,Autumn Dusk,40.497574,-112.03069
206651,Millcreek,40.6949,-111.85549
206869,Morning Light,40.49085,-112.02375
207743,South Jordan,40.567074,-111.98856
208783,Gleasons,40.706783,-111.793655
208781,G1/3UP,40.70658,-111.78191
212683,KK2,40.686176,-111.80893
214407,Lexington Ridge,40.547657,-111.8519
226243,3555 Westwood Drive,40.69417,-111.78929
235167,Navi's House,40.77708,-111.867424
235753,Highland Park,40.542984,-112.04023
240129,Daybreak - Eastlake Village,40.55298,-111.99324
241941,Mt. Dell,40.7505,-111.69923
243047,Fire Station 34,40.555855,-111.87179
243073,Sandy City Public Utilities Building,40.585335,-111.88774
243613,Fire Station 33,40.54631,-111.83329
245237,Bountiful Washington Park powered by UTOPIA Fiber,40.88202,-111.88838
248759,Rose Park - Near SLC Airport,40.79964,-111.94635
248901,Worthington,40.763348,-111.884384
249251,WX-5,40.867813,-111.904144
249941,Wasatch Waldorf Charter School,40.666595,-111.84979
250567,Zen Outdoor,40.537945,-111.9015
251023,McCarthey,40.752556,-111.84682
251031,Lincoln,40.751507,-111.86291
254023,Front of house Garbonzo,40.74701,-111.838745
254041,Bountiful Air,40.873554,-111.8832
254217,Killyons6060,40.796894,-111.710945
255819,Sunset Hollow Drive,40.8515,-111.86098
260707,Ivory Ridge,40.430645,-111.84351
