sensor_id,lat,lon,pm25
39999,40.777283,-111.895325,2.65
70849,40.770924,-111.85196,3.7668064516129034
97391,40.7667,-111.90304,24.227801466992666
28323,40.679787,-111.78401,204.18035316901413
295179,40.78324,-111.87203,23.102215277777777
24441,41.02446,-111.932144,15.429865625000003
5430,40.54301,-111.81915,11.273778819444445
43021,40.792244,-111.88275,14.983476223776224
280142,40.613327,-111.81431,25.206732291666665
459,40.474567,-111.891495,16.96050639853748
298359,40.5704,-111.76149,12.264783333333336
109530,40.73202,-111.81282,15.455798958333334
189675,40.871704,-111.86291,13.51093402777778
151912,40.55333,-111.81884,17.65986215277778
22647,40.57964,-111.80601,13.607508680555556
6602,40.6854,-111.83166,16.22758576388889
13237,41.074944,-111.95793,12.115666666666668
86227,41.014286,-111.93118,19.613387085514837
85837,40.631638,-111.60943,4.163993402777778
181389,40.81673,-111.726974,5.238876041666666
189667,40.647934,-111.91628,10.284800347222221
6080,41.09514,-112.047745,28.68544583333333
282666,40.607132,-111.92878,2.65
37481,41.074577,-111.93478,15.428244791666668
43341,40.47587,-111.886765,19.19762777777778
189694,40.674118,-111.87898,47.50061944444444
248759,40.79964,-111.94635,29.74965798611111
160979,40.672424,-111.80234,19.20289548611111
18115,40.61586,-111.85935,21.02201076388889
20239,40.474003,-111.8389,13.555236805555555
254041,40.873554,-111.8832,18.548907719298242
251023,40.752556,-111.84682,21.940077777777777
30993,41.043926,-111.67677,12.810869097222222
6018,41.124454,-111.924706,14.399015625
46799,41.087585,-111.97808,10.852497222222222
271313,40.70921,-111.83775,16.585114583333333
35407,40.684284,-111.79887,14.538516521739131
6352,40.656517,-111.8456,17.692278819444446
42873,40.474594,-111.89141,11.758678125000001
18321,40.62173,-111.87413,21.688443402777775
260707,40.430645,-111.84351,14.942535069444446
206651,40.6949,-111.85549,22.35014861111111
18069,40.674377,-112.00499,216.94820902777778
285882,40.737175,-111.87824,25.536031597222223
90285,40.78727,-111.93189,8.948963541666666
105030,40.79087,-111.86294,16.16802013888889
83471,41.121555,-112.11596,9.778830208333332
189445,40.6097,-111.90866,21.11237222222222
199845,40.705555,-111.809586,16.79325659722222
245237,40.88202,-111.88838,16.928461111111112
190415,40.59649,-111.80126,15.931108333333334
6276,40.691936,-111.99147,24.15659609929078
301861,40.574833,-111.81496,31.73967096774194
189705,40.678333,-111.89379,17.96390347222222
24413,40.77887,-111.75752,10.509479136690649
59227,40.475445,-111.88704,15.602079166666668
85361,40.97547,-111.93283,3.3918013888888887
47171,40.689796,-112.08269,18.229990277777777
46295,40.723938,-111.83979,14.318782260869565
6298,41.093666,-111.92332,251.81304246823956
46863,40.63352,-112.04344,15.615451041666667
89717,40.581345,-111.8477,20.05504861111111
2980,40.47382,-111.886314,15.679609027777778
299221,40.779156,-111.87555,24.17912395833333
202187,40.588142,-111.804985,12.87853888888889
46773,40.67895,-112.03383,10.74363125
11358,40.73598,-111.57678,3.2741559027777773
